Model,Základní tón,Dur-Moll,Tercie,Trojzvuk,Septima,Čtyřzvuk
Majmin,75.58,73.38,73.38,73.38,73.38,73.38
Majmin7,75.46,73.26,73.26,73.26,64.61,64.61
Complex,75.35,73.51,73.23,72.26,64.92,63.7
