Model,Základní tón,Dur-Moll,Tercie,Trojzvuk,Septima,Čtyřzvuk
CNN,74.43,71.22,70.84,69.42,61.19,59.16
CRNN (CR2),74.83,71.39,71.1,69.72,61.27,59.37
BTC,73.23,69.59,69.35,67.96,59.3,57.43
